feature,r2,mse,mae,rows
ccu_lag_14,0.9605879397396972,5.019953128783092,1.6258998852597468,1043
Volume_lag_14,0.959838110613246,5.115459606864194,1.619845212361459,1043
registrations_pctchg_14,0.9578835945960756,5.364408246718312,1.680933245061117,1043
High_lag_14,0.9563135194258459,5.564390275345179,1.7070608367189837,1043
ccu_diff1,0.9506108644836722,6.348151849074778,1.85872029358486,1056
Close_diff1,0.9498852606907157,6.441416147220463,1.8429391609047943,1056
ccu_lag_1,0.9487947623785217,6.581581566286744,1.8662317024087005,1056
Open_diff1,0.9477975279707215,6.7097594617622445,1.8529719226765182,1056
ccu_rollmean_3,0.9477797976026658,6.694812591137587,1.8630578280625185,1055
Close_rollstd_3,0.9474346149812236,6.73906621050678,1.900576496576246,1055
ccu_rollstd_7,0.9468873695470632,6.809224989195203,1.9149009559956776,1051
Close_lag_1,0.9468635173123331,6.829810995892537,1.9237897800949384,1056
Volume_lag_1,0.9465727397659089,6.867185612793689,1.8926094343077464,1056
High_diff1,0.9465476901505148,6.870405324186099,1.856920512217396,1056
Close_lag_7,0.9463822010236033,6.856229788570393,1.8146778288341703,1050
Close_rollstd_14,0.9458886806095173,6.892212314778102,1.8162252982837732,1044
Low_lag_1,0.9457024948239452,6.9790411247341355,1.905733900250129,1056
Volume_rollstd_14,0.9454703589900082,6.945494353545481,1.8835926329690305,1044
Close_lag_3,0.9450648078330309,7.042883775470834,1.8987903504575037,1054
Close_rollstd_7,0.9450195293727048,7.0486886324492,1.9181058983102228,1051
Low_diff1,0.9448039249923798,7.094537330086616,1.931582270928149,1056
ccu_rollmean_7,0.9441333826912157,7.162295736375919,1.9232605125101823,1051
Open_lag_1,0.9441230929093207,7.182046969641889,1.9583301724128004,1056
Close_lag_14,0.9440303066317937,7.128915247898276,2.024361605849563,1043
Low_rollmean_14,0.9439721297406923,7.136325296106315,1.8592640999971966,1044
ccu_rollstd_14,0.9437697100868189,7.162107687792462,1.884590550472862,1044
Low_rollstd_7,0.9436974957093819,7.21817797199213,1.937177088588335,1051
High_lag_1,0.9436723249986444,7.239985686644087,1.933536169663915,1056
Open_lag_7,0.9432373992080807,7.258362742521524,1.8702007293701173,1050
Volume_rollstd_7,0.9431699010887462,7.285817447656606,1.9569138260249277,1051
High_lag_3,0.943030335582386,7.303710233712068,1.9503689987399566,1054
High_rollstd_7,0.9429263100579142,7.3170466697858965,1.9412710542362448,1051
Volume_rollmean_14,0.9427841832961307,7.287635210681131,1.9352877493680378,1044
Open_rollstd_3,0.9426059341390953,7.358119983115577,1.9642954821835197,1055
Low_rollstd_3,0.9423249234226665,7.394146539816333,1.984666453718574,1055
registrations_pctchg_7,0.9412222498011324,7.516044476126816,1.9446966080438524,1050
High_lag_7,0.9410384184818863,7.539551404630971,1.9143963950020926,1050
Open_rollstd_7,0.9410134159358241,7.562286386718426,1.9617879605406268,1051
Low_lag_7,0.9410130439048282,7.542796109456962,1.922957756405785,1050
Low_lag_3,0.9409750463967229,7.567205495831335,1.9907250607748168,1054
ccu_rollstd_3,0.9407573674385002,7.595112699622819,2.003488531609847,1055
Low_lag_14,0.9404710165822663,7.582265544796302,2.114032745361328,1043
High_rollstd_3,0.9403760159444715,7.644003294960743,2.011187368094639,1055
Close_rollmean_14,0.9402468595500241,7.6108166478828,1.929693596214769,1044
Volume_lag_7,0.9396259283492596,7.720169727431563,1.9602647145589194,1050
Open_rollmean_7,0.939557604438269,7.748926512507216,1.9397895415247335,1051
High_rollstd_14,0.9393336084831222,7.727138340288108,1.983305424594423,1044
Open_lag_3,0.9391052676886433,7.806917665888551,2.002170381952801,1054
ccu_lag_7,0.9384429900891518,7.871434730692167,1.9954125177292596,1050
Volume_diff1,0.9382655342699322,7.934938700160342,2.05726454392919,1056
ccu_rollmean_14,0.9378405612335736,7.917309246408994,2.033450240723824,1044
Volume_lag_3,0.937196780067324,8.051592454010226,2.070076928884497,1054
Close_rollmean_3,0.9370401150529044,8.07167745680563,2.0713776140981377,1055
Low_rollstd_14,0.9369704129270822,8.02814089755403,2.10085059353039,1044
Open_rollmean_3,0.9366884422136106,8.116763144803384,2.004131769117021,1055
Volume_rollmean_7,0.936589357181385,8.129466192491511,2.1391339595848917,1051
registrations_pctchg_3,0.9364402440419768,8.148583018497238,2.0903581736777066,1054
registrations_diff_14,0.9360024966275424,8.151425354752751,2.053725411447042,1043
High_rollmean_3,0.9357293323240663,8.23972438719668,2.096499872433631,1055
Open_rollstd_14,0.9351663412614896,8.257927291425007,2.103428781317752,1044
Close_rollmean_7,0.9351216044847674,8.317637221765292,1.9962939402503426,1051
Low_rollmean_3,0.9345295986423631,8.393534441343238,2.094668781587863,1055
Open_rollmean_14,0.9343710701591902,8.35922175895223,2.089384617417623,1044
Volume_rollstd_3,0.9337799099034101,8.489647159765662,2.190853733587039,1055
Low_rollmean_7,0.932046163140748,8.711919558639138,2.050182234054493,1051
Volume_rollmean_3,0.9316867465536878,8.75799802218483,2.211526319313953,1055
High_rollmean_14,0.9310350770950372,8.78413049778468,2.150481392892354,1044
High_rollmean_7,0.9296190493393615,9.023084036976659,2.1042556039529954,1051
registrations_diff_1,0.9291912912437098,9.101281703406954,2.2129146647903157,1056
Open_lag_14,0.9289059872565615,9.055314778066567,2.254332820764569,1043
ccu_lag_3,0.9154963916468629,10.833658148135074,2.4206135645861875,1054
registrations_diff_3,0.9146536859496077,10.941695965945131,2.459693438633923,1054
registrations_pctchg_1,0.8999676627751799,12.857493047455309,2.6798824454253576,1056
registrations_diff_7,0.8901863730236925,14.042118006323912,2.5878026326497396,1050
