date,form_type,filename,fog_index,sentiment
2021-03-03,8K,full-submission.txt,11091.140903188574,0.3076923076923077
2021-04-16,8K,full-submission.txt,590.4773571920166,0.875
2021-05-10,8K,full-submission.txt,170087.3586357896,0.0
2021-05-13,10Q,full-submission.txt,147489.46998996503,-0.6467491445117136
2021-06-10,8K,full-submission.txt,424.1297297297298,-0.38461538461538464
2021-08-16,8K,full-submission.txt,151092.03697802912,-0.27419354838709675
2021-08-16,10Q,full-submission.txt,243618.054580592,-0.6631932773109244
2021-10-29,8K,full-submission.txt,35774.286736747934,-0.6884328358208955
2021-11-08,8K,full-submission.txt,155106.8682972117,-0.2847682119205298
2021-11-09,10Q,full-submission.txt,173221.02653491506,-0.6606999732834624
2022-02-15,8K,full-submission.txt,163864.8547997237,-0.2191780821917808
2022-02-25,10K,full-submission.txt,240167.87881840346,-0.6129499879197874
2022-03-25,8K,full-submission.txt,3935.7071770334933,-0.55
2022-05-10,8K,full-submission.txt,41221.13519199604,0.04201680672268908
2022-05-11,10Q,full-submission.txt,183814.2985769965,-0.6802775553776355
2022-05-17,8K,full-submission.txt,3223.388165091994,-0.45454545454545453
2022-05-31,8K,full-submission.txt,3226.802880913945,-0.45454545454545453
2022-07-28,8K,full-submission.txt,4017.8094934184287,-0.5263157894736842
2022-08-09,8K,full-submission.txt,156689.2194424589,-0.2
2022-08-10,10Q,full-submission.txt,150149.72782966844,-0.6423794438577966
2022-10-17,8K,full-submission.txt,10663.781322928,-0.3684210526315789
2022-11-09,10Q,full-submission.txt,204475.6284927305,-0.688135593220339
2022-11-09,8K,full-submission.txt,81819.27072282383,-0.09401709401709402
2023-01-17,8K,full-submission.txt,10870.541037909461,-0.4090909090909091
2023-02-15,8K,full-submission.txt,152512.06983793934,-0.17006802721088435
2023-02-28,10K,full-submission.txt,156247.90404751545,-0.5797240936798204
2023-03-10,8K,full-submission.txt,3786.620105820106,-0.5135135135135135
2023-03-17,8K,full-submission.txt,3305.958787878788,-0.5609756097560976
2023-04-17,8K,full-submission.txt,10700.588895120585,-0.38461538461538464
2023-05-10,8K,full-submission.txt,49704.14720780318,-0.14942528735632185
2023-05-10,10Q,full-submission.txt,276927.8256272479,-0.6670567583382094
2023-05-30,8K,full-submission.txt,3232.6090233019336,-0.45454545454545453
2023-08-09,8K,full-submission.txt,182038.7703076727,-0.17355371900826447
2023-08-09,10Q,full-submission.txt,323721.56854542356,-0.6839895013123359
2023-09-14,8K,full-submission.txt,20557.533163354678,-0.6153846153846154
2023-10-06,8K,full-submission.txt,2865.9748251748256,-0.42857142857142855
2023-11-08,8K,full-submission.txt,181436.397121617,-0.3191489361702128
2023-11-08,10Q,full-submission.txt,275035.2743788696,-0.6837696335078534
2023-11-15,8K,full-submission.txt,4021.2879944206434,-0.5135135135135135
2024-02-07,8K,full-submission.txt,181754.82812422974,-0.3424657534246575
2024-02-16,8K,full-submission.txt,3904.645459209851,-0.5
2024-02-21,10K,full-submission.txt,527114.8927616033,-0.6463555726957192
2024-03-04,8K,full-submission.txt,3664.544762737809,-0.09375
2024-05-09,10Q,full-submission.txt,227334.2557245515,-0.6927289321569821
2024-05-09,8K,full-submission.txt,221688.80212407012,-0.1518987341772152
2024-05-31,8K,full-submission.txt,3171.089006823351,-0.45454545454545453
2024-08-01,8K,full-submission.txt,245067.58518083266,-0.10256410256410256
2024-08-02,10Q,full-submission.txt,279637.098036568,-0.6900633085604184
2024-08-26,8K,full-submission.txt,3199.6105197244833,-0.17073170731707318
2024-09-13,8K,full-submission.txt,2945.643537414966,-0.4375
2024-10-03,8K,full-submission.txt,3033.272938689218,-0.5
2024-10-31,10Q,full-submission.txt,138639.14044173868,-0.6487430167597765
2024-10-31,8K,full-submission.txt,333537.5466934344,-0.046296296296296294
2025-02-06,8K,full-submission.txt,251157.58237082555,-0.026737967914438502
2025-02-18,10K,full-submission.txt,427357.2975942148,-0.6427807486631016
2025-05-01,10Q,full-submission.txt,309147.091581636,-0.7086968014803067
2025-05-01,8K,full-submission.txt,251579.170022816,-0.12048192771084337
